Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'RANDOM FOREST',_15,0.689815,0.310185,0.689815,0.310185,0.689815,0.721386,0.37963
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'NAIVE BAYES',_15,0.523148,0.185185,0.814815,0.476852,0.738562,0.728116,0.337963
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_15,0.638889,0.25,0.75,0.361111,0.71875,0.740548,0.388889
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_15,0.643519,0.273148,0.726852,0.356481,0.70202,0.734246,0.37037
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,SVM,_15,0.662037,0.25,0.75,0.337963,0.725888,0.706019,0.412037
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'DECISION TREE',_15,0.574074,0.328704,0.671296,0.425926,0.635897,0.607875,0.24537
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'RANDOM FOREST',_2,0.699074,0.259259,0.740741,0.300926,0.729469,0.769515,0.439815
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'NAIVE BAYES',_2,0.62963,0.222222,0.777778,0.37037,0.73913,0.749293,0.407407
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_2,0.601852,0.300926,0.699074,0.398148,0.666667,0.711773,0.300926
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_2,0.648148,0.231481,0.768519,0.351852,0.736842,0.762003,0.416667
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,SVM,_2,0.675926,0.25463,0.74537,0.324074,0.726368,0.710648,0.421296
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'DECISION TREE',_2,0.717593,0.277778,0.722222,0.282407,0.72093,0.719929,0.439815
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'RANDOM FOREST',_0,0.726852,0.277778,0.722222,0.273148,0.723502,0.767725,0.449074
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'NAIVE BAYES',_0,0.652778,0.25463,0.74537,0.347222,0.719388,0.762748,0.398148
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_0,0.652778,0.25463,0.74537,0.347222,0.719388,0.746603,0.398148
